,zip,primary_city,state,county,latitude,longitude
12707,29607,Greenville,SC,Greenville County,34.83,-82.37
12708,29608,Greenville,SC,Greenville County,34.83,-82.37
12709,29609,Greenville,SC,Greenville County,34.91,-82.39
12710,29610,Greenville,SC,Greenville County,34.83,-82.37
12711,29611,Greenville,SC,Greenville County,34.83,-82.46
12712,29612,Greenville,SC,Greenville County,34.83,-82.37
12713,29613,Greenville,SC,Greenville County,34.92,-82.44
12714,29614,Greenville,SC,Greenville County,34.87,-82.36
12715,29615,Greenville,SC,Greenville County,34.86,-82.3
12716,29616,Greenville,SC,Greenville County,34.83,-82.37
12717,29617,Greenville,SC,Greenville County,34.91,-82.47
12718,29620,Abbeville,SC,Abbeville County,34.17,-82.37
12719,29621,Anderson,SC,Anderson County,34.51,-82.64
12720,29622,Anderson,SC,Anderson County,34.51,-82.64
12721,29623,Anderson,SC,Anderson County,34.51,-82.64
12722,29624,Anderson,SC,Anderson County,34.44,-82.62
12723,29625,Anderson,SC,Anderson County,34.56,-82.76
12724,29626,Anderson,SC,Anderson County,34.46,-82.76
12725,29627,Belton,SC,Anderson County,34.52,-82.49
12726,29628,Calhoun Falls,SC,Abbeville County,34.09,-82.59
12727,29630,Central,SC,Pickens County,34.72,-82.78
12728,29631,Clemson,SC,Pickens County,34.68,-82.81
12729,29632,Clemson,SC,Pickens County,34.68,-82.81
12730,29633,Clemson,SC,Pickens County,34.68,-82.81
12731,29634,Clemson,SC,Pickens County,34.68,-82.84
12732,29635,Cleveland,SC,Greenville County,35.08,-82.63
12733,29636,Conestee,SC,Greenville County,34.78,-82.4
12734,29638,Donalds,SC,Abbeville County,34.37,-82.34
12735,29639,Due West,SC,Abbeville County,34.33,-82.38
12736,29640,Easley,SC,Pickens County,34.88,-82.58
12737,29641,Easley,SC,Pickens County,34.82,-82.58
12738,29642,Easley,SC,Pickens County,34.82,-82.58
12739,29643,Fair Play,SC,Oconee County,34.51,-82.98
12740,29644,Fountain Inn,SC,Greenville County,34.69,-82.2
12741,29645,Gray Court,SC,Laurens County,34.6,-82.11
12742,29646,Greenwood,SC,Greenwood County,34.19,-82.15
12743,29647,Greenwood,SC,Greenwood County,34.19,-82.15
12744,29648,Greenwood,SC,Greenwood County,34.19,-82.15
12745,29649,Greenwood,SC,Greenwood County,34.24,-82.15
12746,29650,Greer,SC,Greenville County,34.9,-82.26
12747,29651,Greer,SC,Greenville County,34.93,-82.23
12748,29652,Greer,SC,Spartanburg County,34.93,-82.23
12749,29653,Hodges,SC,Greenwood County,34.28,-82.24
12750,29654,Honea Path,SC,Anderson County,34.44,-82.39
12751,29655,Iva,SC,Anderson County,34.3,-82.66
12752,29656,La France,SC,Anderson County,34.62,-82.73
12753,29657,Liberty,SC,Pickens County,34.79,-82.69
12754,29658,Long Creek,SC,Oconee County,34.77,-83.25
12755,29659,Lowndesville,SC,Abbeville County,34.21,-82.64
12756,29661,Marietta,SC,Greenville County,35.03,-82.49
12757,29662,Mauldin,SC,Greenville County,34.78,-82.3
12758,29664,Mountain Rest,SC,Oconee County,34.86,-83.15
12759,29665,Newry,SC,Oconee County,34.73,-82.91
12760,29666,Ninety Six,SC,Greenwood County,34.17,-82.02
12761,29667,Norris,SC,Pickens County,34.76,-82.75
12762,29669,Pelzer,SC,Anderson County,34.64,-82.46
12763,29670,Pendleton,SC,Anderson County,34.65,-82.78
12764,29671,Pickens,SC,Pickens County,34.88,-82.7
12765,29672,Seneca,SC,Oconee County,34.75,-82.93
12766,29673,Piedmont,SC,Greenville County,34.71,-82.46
12767,29675,Richland,SC,Oconee County,34.7,-83.02
12768,29676,Salem,SC,Oconee County,34.89,-82.97
12769,29677,Sandy Springs,SC,Anderson County,34.59,-82.75
12770,29678,Seneca,SC,Oconee County,34.68,-82.95
12771,29679,Seneca,SC,Oconee County,34.68,-82.95
12772,29680,Simpsonville,SC,Greenville County,34.69,-82.29
12773,29681,Simpsonville,SC,Greenville County,34.73,-82.25
12774,29682,Six Mile,SC,Pickens County,34.8,-82.81
12775,29683,Slater,SC,Greenville County,35.03,-82.49
12776,29684,Starr,SC,Anderson County,34.37,-82.69
12777,29685,Sunset,SC,Pickens County,34.99,-82.84
12778,29686,Tamassee,SC,Oconee County,34.96,-83.05
12779,29687,Taylors,SC,Greenville County,34.91,-82.31
12780,29688,Tigerville,SC,Greenville County,35.07,-82.37
12781,29689,Townville,SC,Anderson County,34.56,-82.89
12782,29690,Travelers Rest,SC,Greenville County,34.96,-82.43
12783,29691,Walhalla,SC,Oconee County,34.77,-83.06
12784,29692,Ware Shoals,SC,Laurens County,34.39,-82.24
12785,29693,Westminster,SC,Oconee County,34.66,-83.09
12786,29695,Hodges,SC,Greenwood County,34.28,-82.24
12787,29696,West Union,SC,Oconee County,34.76,-83.04
12788,29697,Williamston,SC,Anderson County,34.61,-82.47
12790,29702,Blacksburg,SC,Cherokee County,35.12,-81.51
12791,29703,Bowling Green,SC,York County,35.1,-81.22
12792,29704,Catawba,SC,York County,34.85,-80.91
12793,29706,Chester,SC,Chester County,34.7,-81.21
12794,29707,Fort Mill,SC,Lancaster County,34.99,-80.86
12795,29708,Fort Mill,SC,York County,35.05,-80.99
12796,29709,Chesterfield,SC,Chesterfield County,34.73,-80.08
12797,29710,Clover,SC,York County,35.11,-81.22
12798,29712,Edgemoor,SC,Chester County,34.8,-81.01
12799,29714,Fort Lawn,SC,Chester County,34.7,-80.89
12800,29715,Fort Mill,SC,York County,35.0,-80.94
12801,29716,Fort Mill,SC,York County,35.0,-80.94
12802,29717,Hickory Grove,SC,York County,34.98,-81.41
12803,29718,Jefferson,SC,Chesterfield County,34.65,-80.38
12804,29720,Lancaster,SC,Lancaster County,34.72,-80.77
12805,29721,Lancaster,SC,Lancaster County,34.72,-80.77
12806,29722,Lancaster,SC,Lancaster County,34.72,-80.77
12807,29724,Lando,SC,Chester County,34.77,-81.01
12808,29726,Mc Connells,SC,York County,34.86,-81.22
12809,29727,Mount Croghan,SC,Chesterfield County,34.76,-80.22
12810,29728,Pageland,SC,Chesterfield County,34.77,-80.38
12811,29729,Richburg,SC,Chester County,34.71,-81.02
12812,29730,Rock Hill,SC,York County,34.93,-81.02
12813,29731,Rock Hill,SC,York County,34.93,-81.02
12814,29732,Rock Hill,SC,York County,34.97,-81.08
12815,29733,Rock Hill,SC,York County,34.94,-81.03
12816,29734,Rock Hill,SC,York County,34.93,-81.02
12817,29741,Ruby,SC,Chesterfield County,34.74,-80.17
12818,29742,Sharon,SC,York County,34.95,-81.34
12819,29743,Smyrna,SC,York County,35.04,-81.41
12820,29744,Van Wyck,SC,Lancaster County,34.91,-80.84
12821,29745,York,SC,York County,34.99,-81.23
12822,29801,Aiken,SC,Aiken County,33.54,-81.72
12823,29802,Aiken,SC,Aiken County,33.54,-81.72
12824,29803,Aiken,SC,Aiken County,33.49,-81.76
12825,29804,Aiken,SC,Aiken County,33.54,-81.72
12826,29805,Aiken,SC,Aiken County,33.65,-81.6
12827,29808,Aiken,SC,Aiken County,33.54,-81.72
12828,29809,New Ellenton,SC,Aiken County,33.41,-81.68
12829,29810,Allendale,SC,Allendale County,33.0,-81.3
12830,29812,Barnwell,SC,Barnwell County,33.24,-81.36
12831,29813,Hilda,SC,Barnwell County,33.27,-81.24
12832,29816,Bath,SC,Aiken County,33.5,-81.87
12833,29817,Blackville,SC,Barnwell County,33.36,-81.28
12834,29819,Bradley,SC,Greenwood County,34.04,-82.21
12835,29821,Clarks Hill,SC,McCormick County,33.63,-82.14
12836,29822,Clearwater,SC,Aiken County,33.5,-81.9
12837,29824,Edgefield,SC,Edgefield County,33.78,-81.93
12838,29826,Elko,SC,Barnwell County,33.39,-81.36
12839,29827,Fairfax,SC,Allendale County,32.95,-81.23
12840,29828,Gloverville,SC,Aiken County,33.52,-81.83
12841,29829,Graniteville,SC,Aiken County,33.56,-81.81
12842,29831,Jackson,SC,Aiken County,33.32,-81.79
12843,29832,Johnston,SC,Edgefield County,33.83,-81.8
12844,29834,Langley,SC,Aiken County,33.51,-81.86
12845,29835,Mc Cormick,SC,McCormick County,33.91,-82.29
12846,29836,Martin,SC,Allendale County,33.06,-81.47
12847,29838,Modoc,SC,Edgefield County,33.75,-82.15
12848,29839,Montmorenci,SC,Aiken County,33.52,-81.63
12849,29840,Mount Carmel,SC,McCormick County,34.0,-82.5
12850,29841,North Augusta,SC,Aiken County,33.51,-81.95
12851,29842,Beech Island,SC,Aiken County,33.48,-81.89
12852,29843,Olar,SC,Bamberg County,33.18,-81.18
12853,29844,Parksville,SC,McCormick County,33.78,-82.21
12854,29845,Plum Branch,SC,McCormick County,33.84,-82.25
12855,29846,Sycamore,SC,Allendale County,33.03,-81.22
12856,29847,Trenton,SC,Edgefield County,33.74,-81.84
12857,29848,Troy,SC,Greenwood County,33.97,-82.08
12858,29849,Ulmer,SC,Allendale County,33.09,-81.2
12859,29850,Vaucluse,SC,Aiken County,33.61,-81.82
12860,29851,Warrenville,SC,Aiken County,33.51,-81.82
12861,29853,Williston,SC,Barnwell County,33.4,-81.42
12862,29856,Windsor,SC,Aiken County,33.48,-81.51
12863,29860,North Augusta,SC,Edgefield County,33.61,-81.98
12864,29861,North Augusta,SC,Aiken County,33.51,-81.95
12865,29899,Mc Cormick,SC,McCormick County,33.93,-82.25
12866,29901,Beaufort,SC,Beaufort County,32.42,-80.68
12867,29902,Beaufort,SC,Beaufort County,32.33,-80.68
12868,29903,Beaufort,SC,Beaufort County,32.42,-80.68
12869,29904,Beaufort,SC,Beaufort County,32.46,-80.72
12870,29905,Parris Island,SC,Beaufort County,32.35,-80.68
12871,29906,Beaufort,SC,Beaufort County,32.45,-80.75
12872,29907,Beaufort,SC,Beaufort County,32.43,-80.64
12873,29909,Okatie,SC,Beaufort County,32.3,-80.92
12874,29910,Bluffton,SC,Beaufort County,32.23,-80.86
12875,29911,Brunson,SC,Hampton County,32.92,-81.18
12876,29912,Coosawhatchie,SC,Jasper County,32.58,-80.93
12877,29913,Crocketville,SC,Hampton County,32.91,-81.07
12878,29914,Dale,SC,Beaufort County,32.55,-80.69
12879,29915,Daufuskie Island,SC,Beaufort County,32.12,-80.86
12880,29916,Early Branch,SC,Hampton County,32.74,-80.92
12881,29918,Estill,SC,Hampton County,32.75,-81.24
12882,29920,Saint Helena Island,SC,Beaufort County,32.38,-80.56
12883,29921,Furman,SC,Hampton County,32.68,-81.18
12884,29922,Garnett,SC,Hampton County,32.6,-81.24
12885,29923,Gifford,SC,Hampton County,32.86,-81.23
12886,29924,Hampton,SC,Hampton County,32.86,-81.1
12887,29925,Hilton Head Island,SC,Beaufort County,32.19,-80.74
12888,29926,Hilton Head Island,SC,Beaufort County,32.19,-80.74
12889,29927,Hardeeville,SC,Jasper County,32.27,-81.07
12890,29928,Hilton Head Island,SC,Beaufort County,32.16,-80.76
12891,29929,Islandton,SC,Colleton County,32.9,-80.93
12892,29931,Lobeco,SC,Beaufort County,32.55,-80.74
12893,29932,Luray,SC,Hampton County,32.82,-81.35
12894,29933,Miley,SC,Hampton County,32.94,-81.03
12895,29934,Pineland,SC,Jasper County,32.6,-81.15
12896,29935,Port Royal,SC,Beaufort County,32.38,-80.69
12897,29936,Ridgeland,SC,Jasper County,32.48,-80.98
12898,29938,Hilton Head Island,SC,Beaufort County,32.19,-80.74
12899,29939,Scotia,SC,Hampton County,32.68,-81.24
12900,29940,Seabrook,SC,Beaufort County,32.56,-80.73
12901,29941,Sheldon,SC,Beaufort County,32.55,-80.81
12902,29943,Tillman,SC,Jasper County,32.46,-81.1
12903,29944,Varnville,SC,Hampton County,32.85,-81.08
12904,29945,Yemassee,SC,Hampton County,32.69,-80.85
12905,30002,Avondale Estates,GA,DeKalb County,33.77,-84.26
